Designator,Footprint,Quantity,Value,LCSC Part #
ALT_CAN0,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm_Relief,1,Conn_01x02_Pin,
"AMS0, FUSE_LED0, SAFETY_LED0",LED_PLCC-2_3.4x3.0mm_AK,3,Yellow,
"C1, C2",0603,2,2u,
"C3, C4",0603,2,10n,
C5,0603,1,22n,
CAN0,DSUB-9_Socket_Vertical_P2.77x2.84mm,1,Conn_01x09,
CAN1,SolderWire-0.1sqmm_1x04_P3.6mm_D0.4mm_OD1mm_Relief,1,Conn_01x04_MountingPin,
"CS_BTN1, DRS_BTN1, J1, J2, J3, RTD_BTN1, TERM_1, TSA_BTN1, USR_BTN1",PinHeader_1x02_P1.27mm_Vertical,9,Conn_01x02_Pin,
D1,TDZVTR20,1,TDZVTR12,
D8,SOT-23-3,1,PESD2CAN.215,
"J1PIN200000, J2SO2",PinHeader_2x20_P1.27mm_Vertical,2,Conn_02x20_Top_Bottom_MountingPin,
"J4, J5",PJ3253,2,Conn_01x01,
"J5POWER1, SWD2",SolderWire-0.1sqmm_1x06_P3.6mm_D0.4mm_OD1mm_Relief,2,Conn_01x06_MountingPin,
J7,FTSH-107-XX-YYY-DV-K-A,1,FTSH,
J8,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,Conn_01x03_Socket,
Q1,SOT-223-3_TabPin2,1,STN3P6F6,
"Q4, Q5, Q6",SOT-23,3,BSS138,
"R1, R2, R3, R4, R5",1206,5,1K,
"R10, R15, R7",0603,3,100R,
R11,1206,1,120,
"R13, R16, R8",0603,3,10k,
"R14, R17, R6, R9",1206,4,150,
"SW1, SW2, SW3, SW4, SW5",SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,5,SW_Push,
U1,SOT-23-5,1,SPX3819M5-L-5-0,
U2,SOT-23-5,1,SPX3819M5-L-3-3,
