Designator,Mid X,Mid Y,Rotation,Layer
AMS0,96.2,-39.4375,270.0,bottom
C1,202.925,-108.4,0.0,top
C2,212.625,-110.7,0.0,top
C3,212.6,-101.7,0.0,top
C4,203.425,-101.7,0.0,top
C5,242.2,-78.0,0.0,top
CAN0,132.47,-35.92,0.0,bottom
CS_BTN1,97.1,-51.305,180.0,bottom
D1,241.0,-90.25,0.0,top
D24,150.9,-33.6,180.0,bottom
DRS_BTN1,97.1,-94.13,0.0,bottom
FUSE_LED0,111.0,-39.4375,270.0,bottom
J1,96.2,-33.495,0.0,bottom
J1PIN200000,224.265,-67.665,0.0,top
J2,103.6,-33.495,0.0,bottom
J2SO2,211.585,-36.435,90.0,bottom
J3,111.0,-33.495,0.0,bottom
J4,243.5,-42.5,0.0,bottom
J5,262.0,-42.5,0.0,bottom
J7,179.14,-41.365,180.0,bottom
J8,259.9,-111.825,0.0,bottom
Q1,247.725,-88.35,180.0,top
Q4,147.7625,-96.4,180.0,top
Q5,155.8625,-96.6,180.0,top
Q6,164.8625,-96.3,180.0,top
R1,87.6,-50.0,0.0,top
R10,154.8625,-92.475,270.0,top
R11,160.0,-40.2375,270.0,bottom
R13,151.3375,-95.4,0.0,top
R14,103.7,-39.6575,90.0,top
R15,163.9625,-91.575,270.0,top
R16,159.4375,-95.6,0.0,top
R17,110.7,-39.6575,90.0,top
R2,86.9,-65.45,0.0,top
R3,87.0,-81.535,0.0,top
R4,87.0,-110.0,0.0,top
R5,87.0,-95.4,0.0,top
R6,242.3375,-82.2,0.0,top
R7,146.75,-92.04,270.0,top
R8,142.075,-95.3,0.0,top
R9,96.2,-39.6575,90.0,top
RTD_BTN1,97.1,-64.195,0.0,bottom
S1,87.2,-50.35,0.0,bottom
S2,86.9,-65.9,0.0,bottom
S3,86.9,-110.25,0.0,bottom
S4,87.0,-81.85,0.0,bottom
S5,86.9,-95.95,0.0,bottom
SAFETY_LED0,103.5,-39.4375,270.0,bottom
TERM_1,155.3,-40.43,180.0,bottom
TSA_BTN1,97.1,-80.195,0.0,bottom
U1,213.1625,-105.625,0.0,top
U2,203.3625,-105.45,0.0,top
USR_BTN1,97.1,-108.77,0.0,bottom
